nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
1,16384,PARALLEL,0.2117,0.008100000000000001
1,16384,BROADCAST,0.21660000000000004,0.0167
1,16384,SERIAL,0.21680000000000002,0.008899999999999998
1,393216,PARALLEL,0.7558999999999999,0.015300000000000003
1,393216,BROADCAST,0.8333999999999999,0.2875
1,393216,SERIAL,0.7562,0.0129
1,786432,PARALLEL,1.3498,0.0254
1,786432,BROADCAST,1.847,0.642
1,786432,SERIAL,1.4917000000000002,0.0165
2,16384,PARALLEL,0.207,0.0124
2,16384,BROADCAST,0.2481,0.0242
2,16384,SERIAL,0.22539999999999996,0.011899999999999997
2,393216,PARALLEL,0.7046,0.013800000000000002
2,393216,BROADCAST,0.6643000000000001,0.1993
2,393216,SERIAL,0.7647999999999999,0.015199999999999997
2,786432,PARALLEL,0.9484,0.015200000000000002
2,786432,BROADCAST,1.0491,0.39980000000000004
2,786432,SERIAL,0.9354000000000001,0.015899999999999997
3,16384,PARALLEL,0.27949999999999997,0.0142
3,16384,BROADCAST,0.2513,0.026199999999999994
3,16384,SERIAL,0.29400000000000004,0.013000000000000001
3,393216,PARALLEL,0.5826,0.016800000000000002
3,393216,BROADCAST,0.48069999999999996,0.17860000000000004
3,393216,SERIAL,0.5578000000000001,0.013800000000000002
3,786432,PARALLEL,0.8692,0.0152
3,786432,BROADCAST,0.8297000000000001,0.2831
3,786432,SERIAL,0.9269999999999999,0.0172
4,16384,PARALLEL,0.36899999999999994,0.0158
4,16384,BROADCAST,0.3532,0.0323
4,16384,SERIAL,0.23349999999999999,0.0129
4,393216,PARALLEL,0.6280999999999999,0.020699999999999996
4,393216,BROADCAST,0.6111,0.154
4,393216,SERIAL,0.5729,0.017499999999999998
4,786432,PARALLEL,0.9539,0.021300000000000003
4,786432,BROADCAST,1.0321,0.2697
4,786432,SERIAL,0.9028,0.018600000000000002
5,16384,PARALLEL,0.386,0.0165
5,16384,BROADCAST,0.3657,0.026499999999999996
5,16384,SERIAL,0.3568,0.017499999999999998
5,393216,PARALLEL,0.6790999999999999,0.018
5,393216,BROADCAST,0.6603,0.15699999999999997
5,393216,SERIAL,0.6247,0.015899999999999997
5,786432,PARALLEL,1.0846999999999998,0.0185
5,786432,BROADCAST,1.0006,0.2435
5,786432,SERIAL,0.9808,0.0226
6,16384,PARALLEL,0.433,0.016
6,16384,BROADCAST,0.43080000000000007,0.029000000000000005
6,16384,SERIAL,0.3737,0.0167
6,393216,PARALLEL,0.6977999999999999,0.0193
6,393216,BROADCAST,0.6225999999999999,0.1627
6,393216,SERIAL,0.6197999999999999,0.016999999999999998
6,786432,PARALLEL,0.8336,0.022200000000000004
6,786432,BROADCAST,0.9163999999999998,0.2565
6,786432,SERIAL,0.8831,0.0218
7,16384,PARALLEL,0.404,0.026600000000000002
7,16384,BROADCAST,0.49380000000000007,0.03130000000000001
7,16384,SERIAL,0.38900000000000007,0.0215
7,393216,PARALLEL,0.6897,0.0198
7,393216,BROADCAST,0.6910999999999999,0.1427
7,393216,SERIAL,0.8549999999999999,0.0218
7,786432,PARALLEL,0.9644999999999999,0.022899999999999997
7,786432,BROADCAST,0.8362999999999999,0.2346
7,786432,SERIAL,0.8160000000000001,0.0209
8,16384,PARALLEL,0.4192,0.024600000000000004
8,16384,BROADCAST,0.4516,0.0303
8,16384,SERIAL,0.4321,0.020499999999999997
8,393216,PARALLEL,0.7116,0.030899999999999993
8,393216,BROADCAST,0.6403999999999999,0.1379
8,393216,SERIAL,0.6053,0.0238
8,786432,PARALLEL,0.9591,0.03270000000000001
8,786432,BROADCAST,0.8866999999999999,0.25270000000000004
8,786432,SERIAL,0.9231999999999999,0.0264
9,16384,PARALLEL,0.42429999999999995,0.024299999999999995
9,16384,BROADCAST,0.453,0.0327
9,16384,SERIAL,0.42969999999999997,0.024
9,393216,PARALLEL,0.6054000000000002,0.0217
9,393216,BROADCAST,0.7077,0.1504
9,393216,SERIAL,0.6043000000000001,0.028700000000000003
9,786432,PARALLEL,1.0778,0.027200000000000002
9,786432,BROADCAST,1.0275,0.22280000000000003
9,786432,SERIAL,0.9364000000000001,0.030700000000000005
10,16384,PARALLEL,0.45969999999999994,0.022799999999999997
10,16384,BROADCAST,0.4715,0.0415
10,16384,SERIAL,0.4769,0.0244
10,393216,PARALLEL,0.6297,0.031700000000000006
10,393216,BROADCAST,0.6041000000000001,0.1284
10,393216,SERIAL,0.6174000000000001,0.027099999999999996
10,786432,PARALLEL,0.8635999999999999,0.0331
10,786432,BROADCAST,0.8595,0.2239
10,786432,SERIAL,0.8818999999999999,0.027199999999999995
11,16384,PARALLEL,0.4702,0.0306
11,16384,BROADCAST,0.46510000000000007,0.038900000000000004
11,16384,SERIAL,0.5057,0.0334
11,393216,PARALLEL,0.7061,0.038400000000000004
11,393216,BROADCAST,0.6382,0.1386
11,393216,SERIAL,0.6269,0.030299999999999994
11,786432,PARALLEL,0.8115,0.03849999999999999
11,786432,BROADCAST,0.9062000000000001,0.2486
11,786432,SERIAL,0.8537999999999999,0.0321
12,16384,PARALLEL,0.441,0.0385
12,16384,BROADCAST,0.4941,0.04159999999999999
12,16384,SERIAL,0.5079,0.030700000000000005
12,393216,PARALLEL,0.6712999999999999,0.0419
12,393216,BROADCAST,0.6775000000000001,0.12840000000000001
12,393216,SERIAL,0.6272,0.035100000000000006
12,786432,PARALLEL,0.9596,0.0358
12,786432,BROADCAST,0.8825,0.19569999999999999
12,786432,SERIAL,1.0353999999999999,0.0482
13,16384,PARALLEL,0.4859,0.0427
13,16384,BROADCAST,0.5183,0.0399
13,16384,SERIAL,0.49729999999999996,0.0373
13,393216,PARALLEL,0.6803,0.046799999999999994
13,393216,BROADCAST,0.6003999999999999,0.12689999999999999
13,393216,SERIAL,0.6462,0.0432
13,786432,PARALLEL,0.8577,0.0413
13,786432,BROADCAST,0.8462,0.1959
13,786432,SERIAL,0.8793,0.044099999999999986
14,16384,PARALLEL,0.499,0.0396
14,16384,BROADCAST,0.49800000000000005,0.04379999999999999
14,16384,SERIAL,0.5193,0.043699999999999996
14,393216,PARALLEL,0.8544,0.0422
14,393216,BROADCAST,0.7069,0.1535
14,393216,SERIAL,0.6645,0.04280000000000001
14,786432,PARALLEL,0.9797999999999998,0.0445
14,786432,BROADCAST,0.8988000000000002,0.19360000000000002
14,786432,SERIAL,0.8945000000000001,0.051000000000000004
15,16384,PARALLEL,0.5122,0.038099999999999995
15,16384,BROADCAST,0.5734000000000001,0.049499999999999995
15,16384,SERIAL,0.5309,0.042300000000000004
15,393216,PARALLEL,0.7132999999999999,0.0464
15,393216,BROADCAST,0.7872,0.1378
15,393216,SERIAL,0.6788,0.04569999999999999
15,786432,PARALLEL,0.9969000000000001,0.0558
15,786432,BROADCAST,0.9724,0.2237
15,786432,SERIAL,1.0317999999999998,0.0561
16,16384,PARALLEL,0.5505,0.044599999999999994
16,16384,BROADCAST,0.5763,0.04869999999999999
16,16384,SERIAL,0.5446,0.0504
16,393216,PARALLEL,0.8462999999999999,0.050400000000000014
16,393216,BROADCAST,0.7246,0.1386
16,393216,SERIAL,0.7501,0.0521
16,786432,PARALLEL,1.0370000000000001,0.04989999999999999
16,786432,BROADCAST,0.9761999999999997,0.21400000000000002
16,786432,SERIAL,0.9941000000000001,0.05489999999999999
17,16384,PARALLEL,0.5606,0.0512
17,16384,BROADCAST,0.5521,0.0583
17,16384,SERIAL,0.5761,0.046299999999999994
17,393216,PARALLEL,0.7649,0.05329999999999999
17,393216,BROADCAST,0.7546,0.2379
17,393216,SERIAL,0.7440000000000001,0.0517
17,786432,PARALLEL,1.0237,0.059899999999999995
17,786432,BROADCAST,0.9898999999999999,0.3081
17,786432,SERIAL,1.2022999999999997,0.057800000000000004
18,16384,PARALLEL,0.6037,0.05369999999999999
18,16384,BROADCAST,0.6056999999999999,0.053099999999999994
18,16384,SERIAL,0.5891,0.0498
18,393216,PARALLEL,0.7363,0.0543
18,393216,BROADCAST,0.7757000000000001,0.1449
18,393216,SERIAL,0.8013999999999999,0.06210000000000001
18,786432,PARALLEL,0.9921,0.07970000000000001
18,786432,BROADCAST,0.9777000000000001,0.22080000000000002
18,786432,SERIAL,1.0211000000000001,0.05199999999999999
19,16384,PARALLEL,0.6316999999999999,0.05739999999999999
19,16384,BROADCAST,0.6355,0.059899999999999995
19,16384,SERIAL,0.6078,0.05500000000000001
19,393216,PARALLEL,0.8866999999999999,0.05720000000000001
19,393216,BROADCAST,0.8607000000000001,0.13810000000000003
19,393216,SERIAL,0.7657,0.0612
19,786432,PARALLEL,0.9865999999999999,0.05439999999999999
19,786432,BROADCAST,1.0774000000000001,0.2113
19,786432,SERIAL,1.1075000000000002,0.05639999999999999
20,16384,PARALLEL,0.6346,0.0627
20,16384,BROADCAST,0.6251,0.0617
20,16384,SERIAL,0.6202,0.053000000000000005
20,393216,PARALLEL,0.9163,0.05700000000000001
20,393216,BROADCAST,0.8083,0.131
20,393216,SERIAL,0.908,0.05790000000000001
20,786432,PARALLEL,1.0121000000000002,0.059
20,786432,BROADCAST,1.0794000000000001,0.22359999999999997
20,786432,SERIAL,1.0647,0.05870000000000001
21,16384,PARALLEL,0.6616,0.05499999999999999
21,16384,BROADCAST,0.6691,0.0623
21,16384,SERIAL,0.7577,0.05800000000000001
21,393216,PARALLEL,0.9030999999999999,0.0764
21,393216,BROADCAST,0.8114999999999999,0.13499999999999998
21,393216,SERIAL,0.8521000000000001,0.0615
21,786432,PARALLEL,1.1118,0.0671
21,786432,BROADCAST,1.1356,0.2391
21,786432,SERIAL,1.126,0.06439999999999999
22,16384,PARALLEL,0.6940999999999999,0.059199999999999996
22,16384,BROADCAST,0.7110000000000001,0.06380000000000001
22,16384,SERIAL,0.6892,0.056900000000000006
22,393216,PARALLEL,0.8317,0.05800000000000001
22,393216,BROADCAST,0.9599,0.1399
22,393216,SERIAL,0.7996999999999999,0.061
22,786432,PARALLEL,1.1295,0.06119999999999999
22,786432,BROADCAST,1.065,0.2162
22,786432,SERIAL,1.1522999999999999,0.0675
23,16384,PARALLEL,0.7530999999999999,0.0655
23,16384,BROADCAST,0.7071999999999999,0.0795
23,16384,SERIAL,0.6717000000000001,0.05920000000000001
23,393216,PARALLEL,0.8736,0.0675
23,393216,BROADCAST,0.8402000000000001,0.13940000000000002
23,393216,SERIAL,0.9319,0.0601
23,786432,PARALLEL,1.0515,0.05940000000000001
23,786432,BROADCAST,1.1602999999999999,0.23370000000000002
23,786432,SERIAL,1.2489000000000001,0.0643
24,16384,PARALLEL,0.7424999999999999,0.06839999999999999
24,16384,BROADCAST,0.7053,0.0661
24,16384,SERIAL,0.7163,0.06100000000000001
24,393216,PARALLEL,1.0121,0.07490000000000001
24,393216,BROADCAST,0.8928,0.14700000000000002
24,393216,SERIAL,0.8931999999999999,0.0623
24,786432,PARALLEL,1.1404,0.057600000000000005
24,786432,BROADCAST,1.1602000000000001,0.21480000000000002
24,786432,SERIAL,1.2739999999999998,0.06130000000000001
25,16384,PARALLEL,0.8168000000000001,0.0748
25,16384,BROADCAST,0.7259,0.06910000000000001
25,16384,SERIAL,0.7414000000000001,0.06359999999999999
25,393216,PARALLEL,1.0077,0.0634
25,393216,BROADCAST,0.8898999999999999,0.1411
25,393216,SERIAL,0.8908999999999999,0.0591
25,786432,PARALLEL,1.1188,0.0744
25,786432,BROADCAST,1.2988000000000002,0.22749999999999998
25,786432,SERIAL,1.235,0.0706
26,16384,PARALLEL,0.8172,0.08349999999999999
26,16384,BROADCAST,0.7607,0.0753
26,16384,SERIAL,0.7426,0.059899999999999995
26,393216,PARALLEL,0.9851000000000001,0.06080000000000001
26,393216,BROADCAST,1.0745,0.1524
26,393216,SERIAL,0.9663,0.06799999999999999
26,786432,PARALLEL,1.3007000000000002,0.06920000000000001
26,786432,BROADCAST,1.3272000000000002,0.33120000000000005
26,786432,SERIAL,1.1783,0.07239999999999999
27,16384,PARALLEL,0.784,0.0769
27,16384,BROADCAST,0.7929999999999999,0.0732
27,16384,SERIAL,0.7760999999999999,0.0738
27,393216,PARALLEL,1.0119000000000002,0.07500000000000001
27,393216,BROADCAST,1.1325,0.14189999999999997
27,393216,SERIAL,0.9955,0.0678
27,786432,PARALLEL,1.2626000000000004,0.07039999999999999
27,786432,BROADCAST,1.2557,0.3338
27,786432,SERIAL,1.3475,0.0754
28,16384,PARALLEL,0.8206,0.06659999999999999
28,16384,BROADCAST,0.8781000000000001,0.08199999999999999
28,16384,SERIAL,0.8150999999999999,0.0732
28,393216,PARALLEL,1.1038,0.0631
28,393216,BROADCAST,1.0916000000000001,0.14079999999999998
28,393216,SERIAL,1.0577999999999999,0.0715
28,786432,PARALLEL,1.2608,0.0868
28,786432,BROADCAST,1.3218,0.3255
28,786432,SERIAL,1.2918999999999998,0.0717
29,16384,PARALLEL,0.8422999999999998,0.0821
29,16384,BROADCAST,0.8295,0.0854
29,16384,SERIAL,0.8271999999999998,0.06720000000000001
29,393216,PARALLEL,1.0777,0.07339999999999999
29,393216,BROADCAST,1.1358000000000001,0.1421
29,393216,SERIAL,1.0848,0.07410000000000001
29,786432,PARALLEL,1.4143999999999999,0.0837
29,786432,BROADCAST,1.3666000000000003,0.24310000000000004
29,786432,SERIAL,1.2957,0.07849999999999999
30,16384,PARALLEL,0.9673,0.0803
30,16384,BROADCAST,0.9480999999999999,0.08379999999999999
30,16384,SERIAL,0.907,0.06799999999999999
30,393216,PARALLEL,1.0487999999999997,0.0692
30,393216,BROADCAST,1.1839,0.14600000000000002
30,393216,SERIAL,1.1787999999999998,0.07269999999999999
30,786432,PARALLEL,1.4163000000000001,0.0856
30,786432,BROADCAST,1.3037,0.2274
30,786432,SERIAL,1.3591,0.07110000000000001
31,16384,PARALLEL,0.9298000000000002,0.07799999999999999
31,16384,BROADCAST,0.8962999999999999,0.0851
31,16384,SERIAL,0.8977,0.07819999999999999
31,393216,PARALLEL,1.1432,0.07460000000000001
31,393216,BROADCAST,1.1131,0.15340000000000004
31,393216,SERIAL,1.1261,0.07519999999999999
31,786432,PARALLEL,1.4647000000000001,0.0849
31,786432,BROADCAST,1.3467,0.2171
31,786432,SERIAL,1.3712,0.07659999999999997
32,16384,PARALLEL,0.9965999999999999,0.0881
32,16384,BROADCAST,1.0212999999999999,0.08579999999999999
32,16384,SERIAL,1.0483,0.08519999999999998
32,393216,PARALLEL,1.1486,0.0752
32,393216,BROADCAST,1.2348,0.1436
32,393216,SERIAL,1.1601,0.0727
32,786432,PARALLEL,1.3733,0.0861
32,786432,BROADCAST,1.4249000000000003,0.24180000000000001
32,786432,SERIAL,1.3840999999999999,0.0786
33,16384,PARALLEL,0.99,0.08859999999999998
33,16384,BROADCAST,0.9829000000000001,0.08549999999999999
